angry0,box0,disgust0,fear0,happy0,neutral0,sad0,surprise0
0.42,"[687, 31, 141, 171]",0.03,0.01,0.0,0.02,0.51,0.0
0.33,"[686, 29, 159, 190]",0.0,0.02,0.08,0.1,0.47,0.0
0.38,"[692, 32, 143, 168]",0.01,0.01,0.04,0.03,0.53,0.0
0.92,"[688, 27, 157, 193]",0.0,0.0,0.01,0.01,0.06,0.0
0.92,"[691, 40, 138, 166]",0.0,0.03,0.01,0.01,0.02,0.01
0.79,"[686, 45, 141, 167]",0.0,0.09,0.02,0.02,0.07,0.01
0.69,"[682, 49, 139, 162]",0.0,0.06,0.03,0.01,0.21,0.0
0.75,"[677, 54, 145, 170]",0.0,0.04,0.05,0.01,0.15,0.01
0.76,"[671, 55, 140, 165]",0.0,0.07,0.02,0.02,0.13,0.01
0.63,"[669, 60, 130, 153]",0.0,0.08,0.05,0.02,0.21,0.01
0.64,"[663, 58, 134, 156]",0.0,0.05,0.04,0.02,0.24,0.01
0.22,"[653, 56, 142, 173]",0.0,0.01,0.05,0.09,0.62,0.0
0.06,"[641, 60, 144, 172]",0.01,0.01,0.55,0.17,0.21,0.0
0.21,"[636, 63, 146, 173]",0.0,0.01,0.29,0.27,0.2,0.01
0.73,"[636, 66, 141, 167]",0.04,0.02,0.02,0.07,0.1,0.01
0.56,"[636, 58, 145, 181]",0.01,0.04,0.04,0.09,0.25,0.01
0.17,"[639, 63, 140, 165]",0.02,0.01,0.01,0.16,0.63,0.0
0.23,"[641, 70, 133, 149]",0.06,0.04,0.01,0.23,0.42,0.01
0.06,"[642, 73, 137, 152]",0.15,0.01,0.0,0.03,0.74,0.0
0.37,"[646, 68, 136, 170]",0.0,0.02,0.04,0.03,0.53,0.0
0.78,"[644, 69, 132, 167]",0.0,0.08,0.1,0.01,0.03,0.01
0.82,"[642, 70, 130, 155]",0.0,0.03,0.06,0.02,0.05,0.03
0.79,"[641, 74, 134, 161]",0.0,0.04,0.01,0.02,0.13,0.01
0.62,"[632, 61, 146, 181]",0.01,0.05,0.11,0.1,0.1,0.01
0.81,"[636, 70, 145, 178]",0.0,0.05,0.05,0.02,0.06,0.0
0.79,"[645, 69, 145, 177]",0.0,0.09,0.02,0.03,0.07,0.0
0.75,"[636, 73, 158, 194]",0.01,0.03,0.05,0.05,0.12,0.0
0.72,"[614, 63, 181, 225]",0.0,0.03,0.15,0.05,0.04,0.0
0.61,"[625, 58, 190, 234]",0.0,0.08,0.15,0.05,0.1,0.0
0.8,"[647, 56, 171, 205]",0.0,0.03,0.02,0.05,0.1,0.0
0.87,"[683, 69, 174, 206]",0.0,0.08,0.01,0.01,0.03,0.0
0.7,"[726, 79, 168, 210]",0.0,0.09,0.11,0.02,0.06,0.03
0.31,"[760, 93, 183, 235]",0.0,0.08,0.18,0.14,0.15,0.14
0.61,"[777, 98, 187, 243]",0.0,0.12,0.08,0.04,0.11,0.04
0.12,"[647, 122, 200, 255]",0.0,0.0,0.83,0.0,0.01,0.03
0.04,"[625, 103, 198, 252]",0.0,0.01,0.89,0.02,0.01,0.02
0.04,"[615, 119, 195, 245]",0.0,0.01,0.88,0.02,0.01,0.03
0.1,"[614, 143, 201, 248]",0.0,0.0,0.84,0.02,0.01,0.01
