clip,anger(1),disgust(2),fear(3),happiness(4),neutral(5),sadness(6),surprise(7),contempt(8),anxiety(9),helplessness(10),disappointment(11),multi_label
00025.mp4,0.79,0.6,0,0,0,0,0,-1,-1,0,-1,"1,2"
00027.mp4,0,-1,0,0,0,-1,-1,-1,0.73,0.6,0,"9,10"
00028.mp4,0.75,0.58,0,0,-1,-1,-1,-1,0,0,0,"1,2"
00031.mp4,0,0,0.86,0,0,0,0.82,0,-1,-1,0,"3,7"
00041.mp4,-1,0,0.75,-1,0,0,0.77,0,-1,0,0,"3,7"
00049.mp4,0,-1,0,0.73,0,-1,-1,0.78,0,0,0,"4,8"
00064.mp4,0,0.74,0,0,-1,0,0,0.69,0,0,0,"2,8"
00078.mp4,-1,0.7,-1,0,-1,0,0,0.82,-1,0,-1,"2,8"
00079.mp4,0,0,-1,0,-1,0.73,0,0,0.8,-1,-1,"6,9"
00086.mp4,0.79,-1,-1,0,0,0,0.79,0,0,0,0,"1,7"
00102.mp4,0,-1,0,0.81,0,0,-1,0.77,0,-1,0,"4,8"
00107.mp4,0,-1,0.78,0,0,-1,0,0,0.82,-1,0,"3,9"
00132.mp4,0,-1,0,0.74,-1,0,0,0.77,-1,0,0,"4,8"
00134.mp4,-1,-1,-1,0,0,0,-1,0,0.8,0.6,-1,"9,10"
00137.mp4,0.85,0.63,0,0,0,0,-1,0,-1,0,0,"1,2"
00138.mp4,-1,-1,0.8,0,0,0.72,0,0,0,-1,0,"3,6"
00175.mp4,0,0,0.69,0,0,-1,-1,0,0.74,-1,0,"3,9"
00180.mp4,0.74,0.78,0,0,-1,-1,0,-1,0,0,0,"1,2"
00205.mp4,0,0,0.82,0,0,0.8,0,0,-1,-1,-1,"3,6"
00215.mp4,0,-1,0,0,-1,-1,-1,-1,-1,0.75,0.87,"10,11"
00220.mp4,0,-1,0,0,0,-1,0.83,0,0.8,-1,0,"7,9"
00225.mp4,0,0,-1,0,0,-1,0,0,0.82,0.6,0,"9,10"
00229.mp4,-1,-1,0,0.84,0,-1,0.78,0,-1,0,0,"4,7"
00231.mp4,0,0,0.77,0,0,-1,0.74,0,-1,-1,0,"3,7"
00234.mp4,0,0,0.78,0,0,0,0.78,0,-1,0,0,"3,7"
00235.mp4,-1,0.78,0,-1,0,0,-1,0.68,0,-1,0,"2,8"
00240.mp4,0,0,0.78,0,0,0.76,-1,0,0,-1,0,"3,6"
00244.mp4,0.88,0.65,0,0,0,0,0,-1,0,0,-1,"1,2"
00252.mp4,0,0,0.8,0,0,0,0.85,0,0,0,0,"3,7"
00253.mp4,0,0,0.76,0,0,0.83,-1,0,-1,-1,-1,"3,6"
00262.mp4,0.73,0.56,0,0,-1,0,0,0,-1,0,0,"1,2"
00267.mp4,0,0,0,-1,0,0.82,0,0,-1,0.73,0.77,"6,10,11"
00268.mp4,0,0,0.77,0,0,0,0.82,0,0.6,0,0,"3,7,9"
00271.mp4,0,-1,0.77,0,0,0,0.9,0,-1,0,0,"3,7"
00276.mp4,0,0,0.85,0,-1,-1,-1,0,0.7,-1,0,"3,9"
