clip,anger(1),disgust(2),fear(3),happiness(4),neutral(5),sadness(6),surprise(7),contempt(8),anxiety(9),helplessness(10),disappointment(11),single_label
00019.mp4,0,0,-1,0,0.94,0,-1,0,0,0,0,5
00020.mp4,-1,-1,0,-1,0.94,0,-1,0,0,0,0,5
00022.mp4,0,-1,0,0,-1,-1,0,-1,-1,0.72,0,10
00024.mp4,0,0,0,0.9,0,0,-1,0,0,0,0,4
00025.mp4,0.79,0.6,0,0,0,0,0,-1,-1,0,-1,1
00026.mp4,-1,-1,0,-1,-1,0,0,0.84,-1,-1,0,8
00027.mp4,0,-1,0,0,0,-1,-1,-1,0.73,0.6,0,9
00028.mp4,0.75,0.58,0,0,-1,-1,-1,-1,0,0,0,1
00029.mp4,0,0,-1,0,0.85,0,-1,-1,-1,0,0,5
00030.mp4,-1,-1,-1,0,-1,0,0,0,0.8,-1,0,9
00031.mp4,0,0,0.86,0,0,0,0.82,0,-1,-1,0,3
00034.mp4,0,-1,0,0,0.92,-1,0,-1,-1,-1,0,5
00035.mp4,0,0,0,0.83,0,0,-1,-1,0,0,0,4
00036.mp4,0,0,-1,0,0.97,-1,-1,0,-1,-1,0,5
00037.mp4,-1,0,-1,-1,0.95,0,0,-1,0,0,0,5
00038.mp4,-1,-1,0,-1,-1,0,0,0.73,0,0,0,8
00039.mp4,0,0,0,0,1,0,0,-1,0,0,0,5
00040.mp4,-1,-1,-1,0.9,0,0,-1,-1,-1,0,0,4
00041.mp4,-1,0,0.75,-1,0,0,0.77,0,-1,0,0,7
00045.mp4,0,0,-1,0,-1,0,-1,0,0.77,0,0,9
00049.mp4,0,-1,0,0.73,0,-1,-1,0.78,0,0,0,8
00050.mp4,0,0,0,0.89,0,0,-1,-1,0,0,0,4
00055.mp4,0,0.7,0,-1,0,0,0,-1,-1,-1,0,2
00056.mp4,0,-1,0,0.82,-1,0,-1,-1,-1,0,0,4
00059.mp4,-1,0.84,0,0,-1,-1,-1,-1,-1,0,0,2
00064.mp4,0,0.74,0,0,-1,0,0,0.69,0,0,0,2
00065.mp4,-1,-1,0,0,-1,-1,0,-1,-1,0.7,0,10
00068.mp4,-1,-1,-1,0,0.92,-1,-1,0,-1,0,0,5
00069.mp4,0,0,0,0,0.99,0,0,0,0,0,0,5
00070.mp4,0,0,0.78,0,-1,0,-1,-1,-1,0,0,3
00073.mp4,-1,-1,0,-1,0.86,0,-1,-1,0,0,0,5
00077.mp4,0,-1,0,0.83,-1,0,-1,-1,-1,0,0,4
00078.mp4,-1,0.7,-1,0,-1,0,0,0.82,-1,0,-1,8
00079.mp4,0,0,-1,0,-1,0.73,0,0,0.8,-1,-1,9
00080.mp4,0,0,-1,0,-1,-1,0,0,0.73,-1,0,9
00081.mp4,0,0,0,0.79,-1,0,-1,0,-1,0,0,4
00084.mp4,0,-1,0,0,0,0.78,-1,0,-1,-1,-1,6
00086.mp4,0.79,-1,-1,0,0,0,0.79,0,0,0,0,7
00093.mp4,0,0,0,0,0.94,-1,0,0,-1,-1,0,5
00094.mp4,0,-1,0,0,0.93,0,0,-1,-1,0,-1,5
00095.mp4,0,0,0.75,0,-1,0,-1,0,-1,-1,0,3
00096.mp4,-1,-1,0,0,0.97,-1,0,-1,0,0,0,5
00098.mp4,-1,-1,0,0,0.9,-1,0,-1,0,0,0,5
00099.mp4,-1,0.79,0,0,0,0,0,-1,-1,0,0,2
00102.mp4,0,-1,0,0.81,0,0,-1,0.77,0,-1,0,4
00107.mp4,0,-1,0.78,0,0,-1,0,0,0.82,-1,0,9
00108.mp4,0.84,-1,0,0,-1,0,0,-1,-1,0,0,1
00109.mp4,0,-1,0,0,0.96,-1,0,-1,0,-1,-1,5
00117.mp4,-1,-1,0,0,0.92,-1,0,-1,-1,-1,0,5
00120.mp4,0,-1,0,0,0.94,-1,0,0,-1,-1,-1,5
00121.mp4,0,-1,-1,0.81,0,0,-1,-1,0,0,-1,4
00122.mp4,-1,-1,0,-1,0.9,0,0,-1,0,0,0,5
00123.mp4,0.76,-1,-1,0,-1,0,0,-1,0,0,0,1
00124.mp4,-1,-1,0,-1,-1,0,0,0.73,0,0,-1,8
00125.mp4,0,0,0,0,-1,-1,0,-1,0.7,-1,-1,9
00126.mp4,0,0,-1,0,-1,0.68,0,0,-1,-1,0,6
00129.mp4,0,-1,-1,0,0.86,0,-1,0,-1,0,0,5
00130.mp4,0,0,0,-1,0.9,-1,0,-1,0,0,-1,5
00131.mp4,-1,-1,0,-1,0.91,0,-1,0,-1,0,0,5
00132.mp4,0,-1,0,0.74,-1,0,0,0.77,-1,0,0,8
00134.mp4,-1,-1,-1,0,0,0,-1,0,0.8,0.6,-1,9
00135.mp4,0,0,0,0,-1,-1,0,0,-1,0.65,-1,10
00136.mp4,0,0,0,0,0.97,-1,0,-1,-1,0,0,5
00137.mp4,0.85,0.63,0,0,0,0,-1,0,-1,0,0,1
00138.mp4,-1,-1,0.8,0,0,0.72,0,0,0,-1,0,3
00142.mp4,-1,-1,-1,0,-1,0,0,0,0.75,-1,0,9
00143.mp4,0,-1,0,0,0.88,-1,-1,-1,-1,0,0,5
00144.mp4,-1,-1,0,0,0.96,0,0,-1,-1,0,0,5
00145.mp4,0,0,0,0.85,0,0,-1,-1,0,0,0,4
00152.mp4,0.8,-1,-1,0,-1,0,0,-1,-1,0,0,1
00153.mp4,0.7,-1,0,0,-1,0,-1,0,0,0,0,1
00154.mp4,0,-1,0,0,-1,-1,0,-1,0.78,0,-1,9
00156.mp4,0,0,0,0,0,0,0.81,-1,-1,-1,0,7
00157.mp4,0,0,0,0,-1,0,-1,-1,0.62,0,-1,9
00159.mp4,0,-1,0,-1,-1,-1,0,0.7,0,0,0,8
00160.mp4,-1,-1,-1,0,0,0,-1,0,0.7,0,-1,9
00163.mp4,-1,0,0,0.86,0,0,-1,-1,0,0,0,4
