image_name,angry,disgust,fear,happy,sad,surprise,neutral,sum,positive,negative,outcome
frame_E_1009.jpg,0.1,0.0,0.47,0.0,0.2,0.06,0.17,1.0,0.06,0.77,NG
frame_E_1012.jpg,0.06,0.0,0.28,0.03,0.41,0.08,0.14,1.0,0.11,0.75,NG
frame_E_1042.jpg,0.23,0.01,0.04,0.27,0.1,0.0,0.35,1.0,0.27,0.38,PS
frame_E_1055.jpg,0.13,0.0,0.07,0.05,0.09,0.22,0.43,0.99,0.27,0.29000000000000004,PS
frame_E_1057.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO
frame_E_1135.jpg,0.22,0.0,0.39,0.07,0.15,0.02,0.15,1.0,0.09000000000000001,0.76,NG
frame_E_1154.jpg,0.04,0.0,0.0,0.35,0.12,0.01,0.48,1.0,0.36,0.16,PS
frame_E_1163.jpg,0.66,0.0,0.04,0.08,0.2,0.0,0.02,1.0,0.08,0.9000000000000001,NG
frame_E_1204.jpg,0.09,0.01,0.19,0.03,0.3,0.01,0.36,0.9899999999999999,0.04,0.59,NG
frame_E_1205.jpg,0.03,0.0,0.04,0.04,0.07,0.0,0.81,0.9900000000000001,0.04,0.14,NT
frame_E_1247.jpg,0.02,0.0,0.39,0.0,0.11,0.05,0.42,0.99,0.05,0.52,NT
frame_E_1253.jpg,0.2,0.01,0.07,0.01,0.35,0.01,0.35,1.0,0.02,0.63,NG
frame_E_1291.jpg,0.05,0.0,0.01,0.0,0.02,0.01,0.91,1.0,0.01,0.08,NT
frame_E_1300.jpg,0.14,0.0,0.61,0.0,0.04,0.07,0.13,0.9900000000000001,0.07,0.79,NG
frame_E_1311.jpg,0.68,0.0,0.01,0.09,0.12,0.0,0.1,1.0,0.09,0.81,NG
frame_E_1323.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO
frame_E_1364.jpg,0.12,0.01,0.11,0.13,0.24,0.17,0.22,1.0,0.30000000000000004,0.48,PS
frame_E_1381.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO
frame_E_1395.jpg,0.04,0.0,0.01,0.14,0.08,0.0,0.73,1.0,0.14,0.13,NT
frame_E_1465.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO
frame_E_1468.jpg,0.43,0.0,0.12,0.08,0.08,0.08,0.21,0.9999999999999999,0.16,0.63,NG
frame_E_1481.jpg,0.02,0.0,0.07,0.0,0.05,0.0,0.86,1.0,0.0,0.14,NT
frame_E_1484.jpg,0.13,0.0,0.26,0.0,0.25,0.02,0.33,0.99,0.02,0.64,NG
frame_E_1490.jpg,0.16,0.02,0.05,0.01,0.7,0.01,0.05,1.0,0.02,0.9299999999999999,NG
frame_E_1503.jpg,0.54,0.1,0.03,0.2,0.06,0.02,0.04,0.9900000000000002,0.22,0.73,PS
frame_E_1505.jpg,0.03,0.0,0.02,0.01,0.03,0.0,0.91,1.0,0.01,0.08,NT
frame_E_1515.jpg,0.16,0.01,0.17,0.0,0.58,0.0,0.08,0.9999999999999999,0.0,0.9199999999999999,NG
frame_E_1544.jpg,0.07,0.0,0.07,0.74,0.02,0.0,0.1,1.0,0.74,0.16,PS
frame_E_1565.jpg,0.62,0.0,0.16,0.0,0.22,0.0,0.0,1.0,0.0,1.0,NG
frame_E_1571.jpg,0.26,0.0,0.37,0.0,0.09,0.03,0.24,0.99,0.03,0.72,NG
frame_E_1582.jpg,0.19,0.0,0.11,0.38,0.11,0.04,0.18,1.01,0.42,0.41,PS
frame_E_1586.jpg,0.03,0.0,0.11,0.1,0.08,0.13,0.55,1.0,0.23,0.22000000000000003,PS
frame_E_1596.jpg,0.07,0.0,0.58,0.0,0.13,0.07,0.16,1.0099999999999998,0.07,0.7799999999999999,NG
frame_E_1634.jpg,0.01,0.98,0.0,0.0,0.01,0.0,0.0,1.0,0.0,1.0,NG
frame_E_1638.jpg,0.11,0.0,0.02,0.02,0.21,0.02,0.61,0.99,0.04,0.33999999999999997,NT
