,box0,angry0,disgust0,fear0,happy0,sad0,surprise0,neutral0,video_id,total_frames,sampling_freq,target_frames,actual_frames,fps,duration,timestamp
0,"[711, 135, 196, 267]",0.23,0.0,0.27,0.0,0.13,0.02,0.34,video_0024,64,2,50,32,23.976023976023978,2.6693333333333333,2025-01-29T20:04:12.260219
1,"[701, 128, 206, 269]",0.18,0.0,0.22,0.01,0.19,0.01,0.39,video_0024,64,2,50,32,23.976023976023978,2.6693333333333333,2025-01-29T20:04:12.260219
2,"[696, 123, 203, 274]",0.16,0.0,0.25,0.0,0.14,0.0,0.44,video_0024,64,2,50,32,23.976023976023978,2.6693333333333333,2025-01-29T20:04:12.260219
3,"[697, 127, 200, 270]",0.11,0.0,0.51,0.0,0.21,0.02,0.14,video_0024,64,2,50,32,23.976023976023978,2.6693333333333333,2025-01-29T20:04:12.260219
4,"[693, 126, 206, 276]",0.08,0.0,0.62,0.0,0.22,0.01,0.06,video_0024,64,2,50,32,23.976023976023978,2.6693333333333333,2025-01-29T20:04:12.260219
5,"[696, 127, 203, 267]",0.19,0.0,0.36,0.0,0.28,0.02,0.15,video_0024,64,2,50,32,23.976023976023978,2.6693333333333333,2025-01-29T20:04:12.260219
6,"[695, 123, 205, 270]",0.19,0.0,0.42,0.0,0.32,0.02,0.05,video_0024,64,2,50,32,23.976023976023978,2.6693333333333333,2025-01-29T20:04:12.260219
7,"[691, 117, 200, 271]",0.11,0.0,0.58,0.0,0.12,0.12,0.06,video_0024,64,2,50,32,23.976023976023978,2.6693333333333333,2025-01-29T20:04:12.260219
8,"[691, 122, 199, 266]",0.09,0.0,0.61,0.01,0.14,0.09,0.05,video_0024,64,2,50,32,23.976023976023978,2.6693333333333333,2025-01-29T20:04:12.260219
9,"[689, 118, 199, 274]",0.06,0.0,0.59,0.01,0.16,0.17,0.02,video_0024,64,2,50,32,23.976023976023978,2.6693333333333333,2025-01-29T20:04:12.260219
10,"[692, 123, 197, 265]",0.04,0.0,0.78,0.0,0.13,0.04,0.01,video_0024,64,2,50,32,23.976023976023978,2.6693333333333333,2025-01-29T20:04:12.260219
11,"[699, 118, 193, 265]",0.02,0.0,0.79,0.0,0.11,0.06,0.01,video_0024,64,2,50,32,23.976023976023978,2.6693333333333333,2025-01-29T20:04:12.260219
12,"[705, 124, 192, 254]",0.12,0.0,0.47,0.01,0.25,0.02,0.14,video_0024,64,2,50,32,23.976023976023978,2.6693333333333333,2025-01-29T20:04:12.260219
