,box0,angry0,disgust0,fear0,happy0,sad0,surprise0,neutral0,box1,angry1,disgust1,fear1,happy1,sad1,surprise1,neutral1,box2,angry2,disgust2,fear2,happy2,sad2,surprise2,neutral2,box3,angry3,disgust3,fear3,happy3,sad3,surprise3,neutral3,box4,angry4,disgust4,fear4,happy4,sad4,surprise4,neutral4,video_id,total_frames,sampling_freq,target_frames,actual_frames,fps,duration,timestamp
0,"[525, 66, 219, 283]",0.06,0.0,0.04,0.24,0.15,0.01,0.5,"[351, 403, 49, 57]",0.05,0.0,0.03,0.23,0.04,0.51,0.14,,,,,,,,,,,,,,,,,,,,,,,,,video_0097,47,2,40,23,23.967330965395494,1.9610026693360028,2025-01-29T20:08:31.618496
1,"[527, 72, 216, 281]",0.03,0.0,0.02,0.69,0.07,0.01,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,video_0097,47,2,40,23,23.967330965395494,1.9610026693360028,2025-01-29T20:08:31.618496
2,"[522, 75, 216, 280]",0.1,0.0,0.09,0.4,0.17,0.03,0.2,"[325, 433, 49, 57]",0.09,0.0,0.09,0.1,0.1,0.58,0.04,,,,,,,,,,,,,,,,,,,,,,,,,video_0097,47,2,40,23,23.967330965395494,1.9610026693360028,2025-01-29T20:08:31.618496
3,"[524, 74, 219, 284]",0.11,0.0,0.07,0.03,0.25,0.02,0.52,"[350, 405, 51, 56]",0.02,0.0,0.05,0.14,0.02,0.64,0.12,"[327, 435, 46, 56]",0.04,0.0,0.07,0.07,0.15,0.62,0.05,,,,,,,,,,,,,,,,,video_0097,47,2,40,23,23.967330965395494,1.9610026693360028,2025-01-29T20:08:31.618496
4,"[528, 77, 217, 282]",0.09,0.0,0.06,0.02,0.28,0.02,0.53,"[351, 406, 48, 55]",0.01,0.0,0.05,0.13,0.03,0.67,0.1,"[457, 510, 23, 30]",0.0,0.0,0.0,0.02,0.1,0.01,0.87,"[414, 537, 20, 22]",0.37,0.0,0.04,0.01,0.42,0.0,0.17,,,,,,,,,video_0097,47,2,40,23,23.967330965395494,1.9610026693360028,2025-01-29T20:08:31.618496
5,"[530, 83, 216, 278]",0.12,0.0,0.13,0.12,0.18,0.05,0.4,"[354, 403, 49, 54]",0.03,0.0,0.03,0.36,0.06,0.24,0.28,"[374, 394, 45, 49]",0.18,0.0,0.06,0.08,0.27,0.18,0.23,"[415, 538, 19, 20]",0.71,0.0,0.05,0.0,0.17,0.0,0.07,,,,,,,,,video_0097,47,2,40,23,23.967330965395494,1.9610026693360028,2025-01-29T20:08:31.618496
6,"[527, 79, 219, 283]",0.08,0.0,0.06,0.38,0.17,0.05,0.26,"[351, 404, 49, 54]",0.02,0.0,0.09,0.13,0.07,0.56,0.13,"[457, 511, 22, 29]",0.0,0.0,0.0,0.01,0.1,0.01,0.88,"[414, 537, 19, 21]",0.86,0.0,0.01,0.0,0.11,0.0,0.02,,,,,,,,,video_0097,47,2,40,23,23.967330965395494,1.9610026693360028,2025-01-29T20:08:31.618496
7,"[521, 77, 223, 287]",0.11,0.0,0.09,0.38,0.16,0.08,0.18,"[375, 394, 44, 48]",0.1,0.0,0.05,0.04,0.17,0.45,0.19,"[457, 511, 22, 29]",0.0,0.0,0.0,0.01,0.1,0.01,0.88,"[414, 537, 19, 21]",0.85,0.0,0.01,0.0,0.11,0.0,0.02,,,,,,,,,video_0097,47,2,40,23,23.967330965395494,1.9610026693360028,2025-01-29T20:08:31.618496
8,"[524, 75, 223, 292]",0.05,0.0,0.04,0.07,0.07,0.02,0.75,"[359, 395, 53, 58]",0.02,0.0,0.04,0.05,0.05,0.69,0.14,"[457, 511, 22, 29]",0.0,0.0,0.0,0.01,0.1,0.01,0.88,"[415, 537, 18, 21]",0.76,0.0,0.02,0.0,0.19,0.0,0.03,,,,,,,,,video_0097,47,2,40,23,23.967330965395494,1.9610026693360028,2025-01-29T20:08:31.618496
9,"[528, 75, 221, 290]",0.05,0.0,0.03,0.19,0.08,0.01,0.65,"[357, 395, 54, 59]",0.01,0.0,0.02,0.05,0.02,0.85,0.07,"[457, 511, 22, 29]",0.0,0.0,0.0,0.01,0.1,0.01,0.88,"[415, 538, 18, 20]",0.71,0.0,0.02,0.01,0.19,0.0,0.07,,,,,,,,,video_0097,47,2,40,23,23.967330965395494,1.9610026693360028,2025-01-29T20:08:31.618496
