,box0,angry0,disgust0,fear0,happy0,sad0,surprise0,neutral0,box1,angry1,disgust1,fear1,happy1,sad1,surprise1,neutral1,box2,angry2,disgust2,fear2,happy2,sad2,surprise2,neutral2,video_id,total_frames,sampling_freq,target_frames,actual_frames,fps,duration,timestamp
0,"[370, 183, 359, 488]",0.0,0.0,0.02,0.91,0.01,0.05,0.0,,,,,,,,,,,,,,,,,video_0213,96,2,50,48,25.0,3.84,2025-01-29T20:15:46.085345
1,"[377, 200, 341, 454]",0.0,0.0,0.0,0.99,0.0,0.0,0.0,,,,,,,,,,,,,,,,,video_0213,96,2,50,48,25.0,3.84,2025-01-29T20:15:46.085345
2,"[404, 211, 347, 456]",0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,video_0213,96,2,50,48,25.0,3.84,2025-01-29T20:15:46.085345
3,"[417, 197, 344, 451]",0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,video_0213,96,2,50,48,25.0,3.84,2025-01-29T20:15:46.085345
4,"[406, 182, 340, 446]",0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,video_0213,96,2,50,48,25.0,3.84,2025-01-29T20:15:46.085345
5,"[388, 168, 342, 446]",0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,video_0213,96,2,50,48,25.0,3.84,2025-01-29T20:15:46.085345
6,"[376, 178, 333, 430]",0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,video_0213,96,2,50,48,25.0,3.84,2025-01-29T20:15:46.085345
7,"[384, 168, 330, 434]",0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,video_0213,96,2,50,48,25.0,3.84,2025-01-29T20:15:46.085345
8,"[383, 177, 324, 429]",0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,video_0213,96,2,50,48,25.0,3.84,2025-01-29T20:15:46.085345
9,"[373, 184, 336, 435]",0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,video_0213,96,2,50,48,25.0,3.84,2025-01-29T20:15:46.085345
10,"[386, 194, 335, 436]",0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,video_0213,96,2,50,48,25.0,3.84,2025-01-29T20:15:46.085345
11,"[409, 186, 330, 425]",0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,video_0213,96,2,50,48,25.0,3.84,2025-01-29T20:15:46.085345
12,"[418, 184, 338, 431]",0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,video_0213,96,2,50,48,25.0,3.84,2025-01-29T20:15:46.085345
13,"[427, 181, 338, 435]",0.0,0.0,0.0,1.0,0.0,0.0,0.0,"[380, 218, 49, 58]",0.06,0.0,0.28,0.16,0.34,0.02,0.13,,,,,,,,,video_0213,96,2,50,48,25.0,3.84,2025-01-29T20:15:46.085345
