,box0,angry0,disgust0,fear0,happy0,sad0,surprise0,neutral0,box1,angry1,disgust1,fear1,happy1,sad1,surprise1,neutral1,video_id,total_frames,sampling_freq,target_frames,actual_frames,fps,duration,timestamp
0,"[637, 171, 159, 209]",0.19,0.0,0.1,0.0,0.18,0.05,0.48,,,,,,,,,video_0602,84,2,50,42,25.0,3.36,2025-01-29T20:39:11.795304
1,"[631, 149, 206, 244]",0.17,0.0,0.06,0.0,0.16,0.08,0.53,,,,,,,,,video_0602,84,2,50,42,25.0,3.36,2025-01-29T20:39:11.795304
2,"[624, 156, 185, 225]",0.26,0.0,0.1,0.0,0.15,0.13,0.36,,,,,,,,,video_0602,84,2,50,42,25.0,3.36,2025-01-29T20:39:11.795304
3,"[619, 156, 206, 246]",0.15,0.0,0.06,0.0,0.16,0.06,0.57,,,,,,,,,video_0602,84,2,50,42,25.0,3.36,2025-01-29T20:39:11.795304
4,"[604, 173, 206, 251]",0.15,0.0,0.08,0.0,0.14,0.05,0.58,,,,,,,,,video_0602,84,2,50,42,25.0,3.36,2025-01-29T20:39:11.795304
5,"[594, 181, 209, 253]",0.17,0.0,0.03,0.0,0.08,0.05,0.67,,,,,,,,,video_0602,84,2,50,42,25.0,3.36,2025-01-29T20:39:11.795304
6,"[585, 193, 207, 253]",0.1,0.0,0.02,0.0,0.12,0.02,0.73,,,,,,,,,video_0602,84,2,50,42,25.0,3.36,2025-01-29T20:39:11.795304
7,"[569, 209, 189, 232]",0.25,0.0,0.05,0.0,0.07,0.1,0.52,,,,,,,,,video_0602,84,2,50,42,25.0,3.36,2025-01-29T20:39:11.795304
8,"[564, 198, 205, 243]",0.13,0.0,0.04,0.0,0.05,0.34,0.44,,,,,,,,,video_0602,84,2,50,42,25.0,3.36,2025-01-29T20:39:11.795304
9,"[558, 179, 208, 248]",0.08,0.0,0.04,0.0,0.08,0.11,0.7,,,,,,,,,video_0602,84,2,50,42,25.0,3.36,2025-01-29T20:39:11.795304
10,"[544, 168, 215, 250]",0.11,0.0,0.04,0.0,0.08,0.1,0.67,,,,,,,,,video_0602,84,2,50,42,25.0,3.36,2025-01-29T20:39:11.795304
11,"[535, 161, 216, 252]",0.1,0.0,0.04,0.0,0.08,0.07,0.72,,,,,,,,,video_0602,84,2,50,42,25.0,3.36,2025-01-29T20:39:11.795304
12,"[524, 144, 225, 266]",0.05,0.0,0.03,0.0,0.04,0.1,0.78,,,,,,,,,video_0602,84,2,50,42,25.0,3.36,2025-01-29T20:39:11.795304
13,"[524, 140, 227, 271]",0.06,0.0,0.02,0.0,0.06,0.04,0.82,,,,,,,,,video_0602,84,2,50,42,25.0,3.36,2025-01-29T20:39:11.795304
14,"[528, 157, 224, 262]",0.05,0.0,0.05,0.0,0.06,0.21,0.63,,,,,,,,,video_0602,84,2,50,42,25.0,3.36,2025-01-29T20:39:11.795304
15,"[525, 169, 229, 266]",0.06,0.0,0.06,0.0,0.07,0.23,0.59,,,,,,,,,video_0602,84,2,50,42,25.0,3.36,2025-01-29T20:39:11.795304
16,"[523, 166, 232, 271]",0.08,0.0,0.06,0.0,0.09,0.11,0.65,,,,,,,,,video_0602,84,2,50,42,25.0,3.36,2025-01-29T20:39:11.795304
17,"[524, 161, 239, 277]",0.08,0.0,0.04,0.0,0.08,0.14,0.65,,,,,,,,,video_0602,84,2,50,42,25.0,3.36,2025-01-29T20:39:11.795304
18,"[518, 158, 241, 283]",0.06,0.0,0.03,0.0,0.09,0.07,0.74,"[582, 573, 34, 42]",0.12,0.0,0.05,0.07,0.35,0.03,0.38,video_0602,84,2,50,42,25.0,3.36,2025-01-29T20:39:11.795304
19,"[511, 157, 242, 285]",0.07,0.0,0.06,0.0,0.1,0.2,0.58,,,,,,,,,video_0602,84,2,50,42,25.0,3.36,2025-01-29T20:39:11.795304
20,"[502, 147, 257, 296]",0.06,0.0,0.03,0.0,0.07,0.05,0.78,,,,,,,,,video_0602,84,2,50,42,25.0,3.36,2025-01-29T20:39:11.795304
21,"[501, 142, 259, 297]",0.08,0.0,0.05,0.0,0.09,0.1,0.67,,,,,,,,,video_0602,84,2,50,42,25.0,3.36,2025-01-29T20:39:11.795304
22,"[505, 137, 265, 306]",0.06,0.0,0.04,0.0,0.12,0.05,0.73,,,,,,,,,video_0602,84,2,50,42,25.0,3.36,2025-01-29T20:39:11.795304
23,"[504, 128, 275, 321]",0.13,0.0,0.04,0.0,0.11,0.11,0.61,,,,,,,,,video_0602,84,2,50,42,25.0,3.36,2025-01-29T20:39:11.795304
24,"[518, 119, 278, 325]",0.12,0.0,0.05,0.0,0.08,0.12,0.62,,,,,,,,,video_0602,84,2,50,42,25.0,3.36,2025-01-29T20:39:11.795304
25,"[536, 112, 290, 337]",0.09,0.0,0.03,0.0,0.09,0.08,0.71,,,,,,,,,video_0602,84,2,50,42,25.0,3.36,2025-01-29T20:39:11.795304
26,"[558, 110, 283, 332]",0.16,0.0,0.08,0.0,0.08,0.15,0.54,,,,,,,,,video_0602,84,2,50,42,25.0,3.36,2025-01-29T20:39:11.795304
27,"[555, 99, 291, 344]",0.18,0.0,0.07,0.0,0.07,0.15,0.53,,,,,,,,,video_0602,84,2,50,42,25.0,3.36,2025-01-29T20:39:11.795304
28,"[558, 97, 298, 355]",0.12,0.0,0.04,0.0,0.07,0.13,0.65,,,,,,,,,video_0602,84,2,50,42,25.0,3.36,2025-01-29T20:39:11.795304
29,"[550, 113, 282, 351]",0.13,0.0,0.03,0.0,0.08,0.08,0.67,,,,,,,,,video_0602,84,2,50,42,25.0,3.36,2025-01-29T20:39:11.795304
30,"[539, 84, 315, 375]",0.13,0.0,0.02,0.0,0.1,0.0,0.75,,,,,,,,,video_0602,84,2,50,42,25.0,3.36,2025-01-29T20:39:11.795304
31,"[517, 75, 316, 375]",0.13,0.0,0.04,0.0,0.08,0.01,0.75,,,,,,,,,video_0602,84,2,50,42,25.0,3.36,2025-01-29T20:39:11.795304
32,"[500, 77, 317, 377]",0.15,0.0,0.09,0.0,0.09,0.08,0.59,,,,,,,,,video_0602,84,2,50,42,25.0,3.36,2025-01-29T20:39:11.795304
33,"[497, 89, 317, 381]",0.14,0.0,0.04,0.0,0.07,0.07,0.68,,,,,,,,,video_0602,84,2,50,42,25.0,3.36,2025-01-29T20:39:11.795304
34,"[494, 83, 320, 384]",0.19,0.0,0.15,0.0,0.09,0.17,0.4,,,,,,,,,video_0602,84,2,50,42,25.0,3.36,2025-01-29T20:39:11.795304
35,"[482, 74, 349, 422]",0.21,0.0,0.2,0.0,0.05,0.1,0.43,,,,,,,,,video_0602,84,2,50,42,25.0,3.36,2025-01-29T20:39:11.795304
36,"[488, 75, 330, 430]",0.22,0.0,0.18,0.0,0.11,0.06,0.43,,,,,,,,,video_0602,84,2,50,42,25.0,3.36,2025-01-29T20:39:11.795304
37,"[496, 89, 354, 450]",0.26,0.0,0.22,0.0,0.08,0.05,0.39,,,,,,,,,video_0602,84,2,50,42,25.0,3.36,2025-01-29T20:39:11.795304
38,"[498, 87, 361, 467]",0.33,0.0,0.08,0.01,0.05,0.06,0.46,,,,,,,,,video_0602,84,2,50,42,25.0,3.36,2025-01-29T20:39:11.795304
39,"[499, 77, 370, 483]",0.27,0.0,0.22,0.01,0.08,0.1,0.31,,,,,,,,,video_0602,84,2,50,42,25.0,3.36,2025-01-29T20:39:11.795304
40,"[494, 65, 375, 487]",0.25,0.0,0.1,0.01,0.09,0.04,0.51,,,,,,,,,video_0602,84,2,50,42,25.0,3.36,2025-01-29T20:39:11.795304
