,box0,angry0,disgust0,fear0,happy0,sad0,surprise0,neutral0,box1,angry1,disgust1,fear1,happy1,sad1,surprise1,neutral1,box2,angry2,disgust2,fear2,happy2,sad2,surprise2,neutral2,box3,angry3,disgust3,fear3,happy3,sad3,surprise3,neutral3,video_id,total_frames,sampling_freq,target_frames,actual_frames,fps,duration,timestamp
0,"[1381, 148, 244, 315]",0.17,0.0,0.04,0.43,0.11,0.07,0.19,"[505, 737, 131, 152]",0.12,0.0,0.27,0.01,0.5,0.0,0.1,,,,,,,,,,,,,,,,,video_0922,80,2,50,40,24.0,3.3333333333333335,2025-01-29T20:59:22.348507
1,"[1199, 794, 36, 44]",0.13,0.02,0.13,0.6,0.06,0.02,0.04,,,,,,,,,,,,,,,,,,,,,,,,,video_0922,80,2,50,40,24.0,3.3333333333333335,2025-01-29T20:59:22.348507
2,"[1350, 171, 239, 300]",0.24,0.02,0.07,0.05,0.36,0.05,0.22,"[1198, 389, 81, 91]",0.16,0.0,0.3,0.16,0.19,0.0,0.19,"[1054, 297, 65, 74]",0.16,0.0,0.06,0.31,0.25,0.01,0.22,,,,,,,,,video_0922,80,2,50,40,24.0,3.3333333333333335,2025-01-29T20:59:22.348507
3,"[1338, 184, 259, 327]",0.25,0.02,0.09,0.01,0.36,0.1,0.18,,,,,,,,,,,,,,,,,,,,,,,,,video_0922,80,2,50,40,24.0,3.3333333333333335,2025-01-29T20:59:22.348507
4,"[1285, 216, 301, 379]",0.22,0.04,0.04,0.01,0.35,0.0,0.33,,,,,,,,,,,,,,,,,,,,,,,,,video_0922,80,2,50,40,24.0,3.3333333333333335,2025-01-29T20:59:22.348507
5,"[1275, 244, 298, 374]",0.15,0.01,0.09,0.04,0.15,0.04,0.52,"[883, 416, 84, 97]",0.29,0.0,0.21,0.2,0.24,0.01,0.05,"[1629, 163, 70, 96]",0.34,0.0,0.15,0.25,0.16,0.01,0.1,,,,,,,,,video_0922,80,2,50,40,24.0,3.3333333333333335,2025-01-29T20:59:22.348507
6,"[1254, 269, 288, 363]",0.05,0.0,0.01,0.13,0.11,0.03,0.66,"[1545, 214, 55, 72]",0.46,0.0,0.04,0.12,0.28,0.0,0.1,,,,,,,,,,,,,,,,,video_0922,80,2,50,40,24.0,3.3333333333333335,2025-01-29T20:59:22.348507
7,"[1264, 322, 268, 334]",0.14,0.0,0.01,0.13,0.02,0.03,0.66,"[1470, 201, 66, 89]",0.11,0.01,0.13,0.33,0.32,0.0,0.1,"[470, 361, 38, 49]",0.24,0.01,0.17,0.28,0.16,0.01,0.12,,,,,,,,,video_0922,80,2,50,40,24.0,3.3333333333333335,2025-01-29T20:59:22.348507
8,"[1261, 335, 258, 320]",0.27,0.0,0.02,0.09,0.03,0.06,0.53,"[1417, 208, 65, 90]",0.19,0.0,0.1,0.31,0.27,0.0,0.14,"[-22, 655, 66, 81]",0.59,0.01,0.03,0.09,0.19,0.05,0.05,,,,,,,,,video_0922,80,2,50,40,24.0,3.3333333333333335,2025-01-29T20:59:22.348507
9,"[1250, 354, 255, 312]",0.3,0.0,0.03,0.04,0.04,0.05,0.55,"[1635, 263, 39, 46]",0.38,0.01,0.1,0.11,0.31,0.01,0.1,"[409, 167, 39, 45]",0.26,0.01,0.46,0.12,0.11,0.01,0.03,,,,,,,,,video_0922,80,2,50,40,24.0,3.3333333333333335,2025-01-29T20:59:22.348507
10,"[1256, 387, 231, 274]",0.33,0.0,0.02,0.02,0.04,0.05,0.54,"[1318, 229, 64, 85]",0.21,0.01,0.14,0.25,0.3,0.01,0.08,"[359, 159, 41, 48]",0.34,0.0,0.2,0.32,0.07,0.0,0.06,,,,,,,,,video_0922,80,2,50,40,24.0,3.3333333333333335,2025-01-29T20:59:22.348507
11,"[1255, 388, 227, 274]",0.49,0.0,0.04,0.06,0.08,0.03,0.31,"[1272, 236, 63, 83]",0.27,0.01,0.2,0.11,0.29,0.01,0.11,,,,,,,,,,,,,,,,,video_0922,80,2,50,40,24.0,3.3333333333333335,2025-01-29T20:59:22.348507
12,"[1257, 397, 231, 277]",0.52,0.01,0.03,0.01,0.08,0.03,0.32,"[1232, 233, 71, 91]",0.18,0.01,0.15,0.14,0.39,0.0,0.13,,,,,,,,,,,,,,,,,video_0922,80,2,50,40,24.0,3.3333333333333335,2025-01-29T20:59:22.348507
13,"[1254, 400, 231, 278]",0.41,0.0,0.09,0.03,0.28,0.02,0.18,"[1207, 231, 67, 88]",0.16,0.01,0.15,0.14,0.4,0.0,0.14,"[1381, 294, 59, 71]",0.13,0.0,0.04,0.56,0.08,0.0,0.18,,,,,,,,,video_0922,80,2,50,40,24.0,3.3333333333333335,2025-01-29T20:59:22.348507
14,"[1265, 399, 224, 280]",0.35,0.0,0.03,0.05,0.18,0.03,0.36,"[1178, 226, 69, 92]",0.16,0.0,0.14,0.07,0.49,0.0,0.13,,,,,,,,,,,,,,,,,video_0922,80,2,50,40,24.0,3.3333333333333335,2025-01-29T20:59:22.348507
15,"[1264, 407, 231, 282]",0.22,0.0,0.04,0.05,0.23,0.07,0.4,"[201, 793, 106, 117]",0.26,0.0,0.03,0.0,0.48,0.0,0.22,"[1145, 219, 71, 93]",0.07,0.0,0.17,0.11,0.44,0.0,0.2,"[273, 265, 42, 53]",0.05,0.0,0.09,0.51,0.22,0.04,0.08,video_0922,80,2,50,40,24.0,3.3333333333333335,2025-01-29T20:59:22.348507
16,"[1268, 405, 229, 281]",0.19,0.0,0.05,0.04,0.33,0.03,0.37,"[618, 283, 56, 66]",0.22,0.01,0.11,0.2,0.35,0.01,0.11,,,,,,,,,,,,,,,,,video_0922,80,2,50,40,24.0,3.3333333333333335,2025-01-29T20:59:22.348507
17,"[1258, 393, 239, 292]",0.21,0.0,0.06,0.03,0.32,0.05,0.32,,,,,,,,,,,,,,,,,,,,,,,,,video_0922,80,2,50,40,24.0,3.3333333333333335,2025-01-29T20:59:22.348507
18,"[1252, 381, 241, 300]",0.37,0.0,0.11,0.02,0.31,0.02,0.17,"[1006, 196, 81, 103]",0.51,0.0,0.08,0.02,0.31,0.0,0.07,"[1183, 292, 57, 70]",0.34,0.0,0.1,0.22,0.26,0.0,0.08,,,,,,,,,video_0922,80,2,50,40,24.0,3.3333333333333335,2025-01-29T20:59:22.348507
19,"[1242, 364, 244, 308]",0.22,0.0,0.08,0.09,0.36,0.08,0.18,,,,,,,,,,,,,,,,,,,,,,,,,video_0922,80,2,50,40,24.0,3.3333333333333335,2025-01-29T20:59:22.348507
20,"[1230, 370, 249, 300]",0.14,0.0,0.06,0.02,0.69,0.06,0.04,"[1685, 441, 128, 154]",0.24,0.01,0.04,0.02,0.43,0.0,0.26,"[664, 530, 40, 52]",0.12,0.0,0.09,0.32,0.24,0.02,0.2,,,,,,,,,video_0922,80,2,50,40,24.0,3.3333333333333335,2025-01-29T20:59:22.348507
21,"[1229, 370, 272, 324]",0.08,0.0,0.08,0.01,0.77,0.03,0.03,,,,,,,,,,,,,,,,,,,,,,,,,video_0922,80,2,50,40,24.0,3.3333333333333335,2025-01-29T20:59:22.348507
22,"[1225, 380, 278, 316]",0.05,0.0,0.02,0.01,0.86,0.0,0.06,"[986, 256, 57, 66]",0.09,0.0,0.03,0.76,0.04,0.01,0.06,,,,,,,,,,,,,,,,,video_0922,80,2,50,40,24.0,3.3333333333333335,2025-01-29T20:59:22.348507
23,"[908, 246, 69, 84]",0.38,0.0,0.19,0.24,0.16,0.0,0.03,"[1208, 218, 70, 82]",0.03,0.0,0.12,0.04,0.72,0.0,0.08,"[1236, 836, 29, 41]",0.39,0.0,0.06,0.23,0.26,0.01,0.06,,,,,,,,,video_0922,80,2,50,40,24.0,3.3333333333333335,2025-01-29T20:59:22.348507
24,"[211, 176, 47, 68]",0.31,0.02,0.14,0.09,0.38,0.0,0.07,,,,,,,,,,,,,,,,,,,,,,,,,video_0922,80,2,50,40,24.0,3.3333333333333335,2025-01-29T20:59:22.348507
